
============================================================
               ACCURACY EVALUATION REPORT
============================================================

≡ƒôï Ground Truth:
  --------------------------------------------------------
  Problem      Student         ΓåÆ Expected Ref   
  --------------------------------------------------------
  p1           s1              ΓåÆ ref1           
  p1           s2              ΓåÆ ref1           
  p1           s3              ΓåÆ ref2           
  p1           s4              ΓåÆ ref3           
  p1           s5              ΓåÆ ref1           
  p1           s6              ΓåÆ ref2           
  p1           s7              ΓåÆ ref1           
  p1           s8              ΓåÆ ref1           
  p1           s9              ΓåÆ ref3           
  p1           s10             ΓåÆ ref1           
  p1           s11             ΓåÆ ref1           
  p1           s12             ΓåÆ ref1           
  p1           s13             ΓåÆ ref1           
  p1           s14             ΓåÆ ref1           
  p1           s15             ΓåÆ ref1           
  p1           s16             ΓåÆ ref2           
  p1           s17             ΓåÆ ref1           
  p1           s18             ΓåÆ ref3           
  p1           s19             ΓåÆ ref1           
  p1           s20             ΓåÆ ref1           
  p10          s1              ΓåÆ ref1           
  p10          s2              ΓåÆ ref2           
  p10          s3              ΓåÆ ref1           
  p10          s4              ΓåÆ ref1           
  p10          s5              ΓåÆ ref2           
  p10          s6              ΓåÆ ref1           
  p10          s7              ΓåÆ ref1           
  p10          s8              ΓåÆ ref1           
  p10          s9              ΓåÆ ref1           
  p10          s10             ΓåÆ ref1           
  p10          s11             ΓåÆ ref1           
  p10          s12             ΓåÆ ref1           
  p10          s13             ΓåÆ ref1           
  p10          s14             ΓåÆ ref2           
  p10          s15             ΓåÆ ref1           
  p10          s16             ΓåÆ ref1           
  p10          s17             ΓåÆ ref1           
  p10          s18             ΓåÆ ref2           
  p10          s19             ΓåÆ ref1           
  p10          s20             ΓåÆ ref1           
  p11          s1              ΓåÆ ref1           
  p11          s2              ΓåÆ ref2           
  p11          s3              ΓåÆ ref1           
  p11          s4              ΓåÆ ref1           
  p11          s5              ΓåÆ ref2           
  p11          s6              ΓåÆ ref1           
  p11          s7              ΓåÆ ref1           
  p11          s8              ΓåÆ ref2           
  p11          s9              ΓåÆ ref2           
  p11          s10             ΓåÆ ref1           
  p11          s11             ΓåÆ ref1           
  p11          s12             ΓåÆ ref1           
  p11          s13             ΓåÆ ref1           
  p11          s14             ΓåÆ ref1           
  p11          s15             ΓåÆ ref1           
  p11          s16             ΓåÆ ref1           
  p11          s17             ΓåÆ ref2           
  p11          s18             ΓåÆ ref1           
  p11          s19             ΓåÆ ref1           
  p11          s20             ΓåÆ ref1           
  p12          s1              ΓåÆ ref1           
  p12          s2              ΓåÆ ref2           
  p12          s3              ΓåÆ ref1           
  p12          s4              ΓåÆ ref1           
  p12          s5              ΓåÆ ref2           
  p12          s6              ΓåÆ ref1           
  p12          s7              ΓåÆ ref2           
  p12          s8              ΓåÆ ref1           
  p12          s9              ΓåÆ ref1           
  p12          s10             ΓåÆ ref1           
  p12          s11             ΓåÆ ref1           
  p12          s12             ΓåÆ ref2           
  p12          s13             ΓåÆ ref1           
  p12          s14             ΓåÆ ref1           
  p12          s15             ΓåÆ ref1           
  p12          s16             ΓåÆ ref1           
  p12          s17             ΓåÆ ref2           
  p12          s18             ΓåÆ ref1           
  p12          s19             ΓåÆ ref2           
  p12          s20             ΓåÆ ref1           
  p13          s1              ΓåÆ ref1           
  p13          s2              ΓåÆ ref2           
  p13          s3              ΓåÆ ref1           
  p13          s4              ΓåÆ ref1           
  p13          s5              ΓåÆ ref2           
  p13          s6              ΓåÆ ref1           
  p13          s7              ΓåÆ ref1           
  p13          s8              ΓåÆ ref2           
  p13          s9              ΓåÆ ref1           
  p13          s10             ΓåÆ ref2           
  p13          s11             ΓåÆ ref1           
  p13          s12             ΓåÆ ref1           
  p13          s13             ΓåÆ ref2           
  p13          s14             ΓåÆ ref1           
  p13          s15             ΓåÆ ref2           
  p13          s16             ΓåÆ ref1           
  p13          s17             ΓåÆ ref1           
  p13          s18             ΓåÆ ref1           
  p13          s19             ΓåÆ ref1           
  p13          s20             ΓåÆ ref1           
  p14          s1              ΓåÆ ref1           
  p14          s2              ΓåÆ ref2           
  p14          s3              ΓåÆ ref1           
  p14          s4              ΓåÆ ref1           
  p14          s5              ΓåÆ ref2           
  p14          s6              ΓåÆ ref1           
  p14          s7              ΓåÆ ref2           
  p14          s8              ΓåÆ ref1           
  p14          s9              ΓåÆ ref1           
  p14          s10             ΓåÆ ref1           
  p14          s11             ΓåÆ ref1           
  p14          s12             ΓåÆ ref2           
  p14          s13             ΓåÆ ref1           
  p14          s14             ΓåÆ ref1           
  p14          s15             ΓåÆ ref1           
  p14          s16             ΓåÆ ref1           
  p14          s17             ΓåÆ ref1           
  p14          s18             ΓåÆ ref1           
  p14          s19             ΓåÆ ref2           
  p14          s20             ΓåÆ ref1           
  p15          s1              ΓåÆ ref1           
  p15          s2              ΓåÆ ref2           
  p15          s3              ΓåÆ ref1           
  p15          s4              ΓåÆ ref1           
  p15          s5              ΓåÆ ref2           
  p15          s6              ΓåÆ ref1           
  p15          s7              ΓåÆ ref2           
  p15          s8              ΓåÆ ref1           
  p15          s9              ΓåÆ ref1           
  p15          s10             ΓåÆ ref1           
  p15          s11             ΓåÆ ref1           
  p15          s12             ΓåÆ ref1           
  p15          s13             ΓåÆ ref2           
  p15          s14             ΓåÆ ref1           
  p15          s15             ΓåÆ ref1           
  p15          s16             ΓåÆ ref1           
  p15          s17             ΓåÆ ref1           
  p15          s18             ΓåÆ ref2           
  p15          s19             ΓåÆ ref1           
  p15          s20             ΓåÆ ref1           
  p16          s1              ΓåÆ ref1           
  p16          s2              ΓåÆ ref2           
  p16          s3              ΓåÆ ref1           
  p16          s4              ΓåÆ ref1           
  p16          s5              ΓåÆ ref2           
  p16          s6              ΓåÆ ref1           
  p16          s7              ΓåÆ ref1           
  p16          s8              ΓåÆ ref2           
  p16          s9              ΓåÆ ref1           
  p16          s10             ΓåÆ ref1           
  p16          s11             ΓåÆ ref1           
  p16          s12             ΓåÆ ref1           
  p16          s13             ΓåÆ ref1           
  p16          s14             ΓåÆ ref1           
  p16          s15             ΓåÆ ref2           
  p16          s16             ΓåÆ ref2           
  p16          s17             ΓåÆ ref2           
  p16          s18             ΓåÆ ref2           
  p16          s19             ΓåÆ ref1           
  p16          s20             ΓåÆ ref1           
  p17          s1              ΓåÆ ref1           
  p17          s2              ΓåÆ ref2           
  p17          s3              ΓåÆ ref1           
  p17          s4              ΓåÆ ref1           
  p17          s5              ΓåÆ ref1           
  p17          s6              ΓåÆ ref2           
  p17          s7              ΓåÆ ref1           
  p17          s8              ΓåÆ ref1           
  p17          s9              ΓåÆ ref1           
  p17          s10             ΓåÆ ref2           
  p17          s11             ΓåÆ ref1           
  p17          s12             ΓåÆ ref2           
  p17          s13             ΓåÆ ref1           
  p17          s14             ΓåÆ ref1           
  p17          s15             ΓåÆ ref2           
  p17          s16             ΓåÆ ref1           
  p17          s17             ΓåÆ ref1           
  p17          s18             ΓåÆ ref2           
  p17          s19             ΓåÆ ref1           
  p17          s20             ΓåÆ ref1           
  p18          s1              ΓåÆ ref1           
  p18          s2              ΓåÆ ref2           
  p18          s3              ΓåÆ ref1           
  p18          s4              ΓåÆ ref1           
  p18          s5              ΓåÆ ref1           
  p18          s6              ΓåÆ ref2           
  p18          s7              ΓåÆ ref1           
  p18          s8              ΓåÆ ref1           
  p18          s9              ΓåÆ ref2           
  p18          s10             ΓåÆ ref1           
  p18          s11             ΓåÆ ref1           
  p18          s12             ΓåÆ ref1           
  p18          s13             ΓåÆ ref1           
  p18          s14             ΓåÆ ref1           
  p18          s15             ΓåÆ ref1           
  p18          s16             ΓåÆ ref1           
  p18          s17             ΓåÆ ref1           
  p18          s18             ΓåÆ ref1           
  p18          s19             ΓåÆ ref1           
  p18          s20             ΓåÆ ref1           
  p19          s1              ΓåÆ ref1           
  p19          s2              ΓåÆ ref1           
  p19          s3              ΓåÆ ref1           
  p19          s4              ΓåÆ ref1           
  p19          s5              ΓåÆ ref1           
  p19          s6              ΓåÆ ref2           
  p19          s7              ΓåÆ ref2           
  p19          s8              ΓåÆ ref1           
  p19          s9              ΓåÆ ref1           
  p19          s10             ΓåÆ ref2           
  p19          s11             ΓåÆ ref1           
  p19          s12             ΓåÆ ref1           
  p19          s13             ΓåÆ ref1           
  p19          s14             ΓåÆ ref1           
  p19          s15             ΓåÆ ref1           
  p19          s16             ΓåÆ ref1           
  p19          s17             ΓåÆ ref1           
  p19          s18             ΓåÆ ref1           
  p19          s19             ΓåÆ ref1           
  p19          s20             ΓåÆ ref1           
  p2           s1              ΓåÆ ref1           
  p2           s2              ΓåÆ ref2           
  p2           s3              ΓåÆ ref1           
  p2           s4              ΓåÆ ref1           
  p2           s5              ΓåÆ ref2           
  p2           s6              ΓåÆ ref1           
  p2           s7              ΓåÆ ref1           
  p2           s8              ΓåÆ ref2           
  p2           s9              ΓåÆ ref1           
  p2           s10             ΓåÆ ref1           
  p2           s11             ΓåÆ ref1           
  p2           s12             ΓåÆ ref1           
  p2           s13             ΓåÆ ref1           
  p2           s14             ΓåÆ ref2           
  p2           s15             ΓåÆ ref1           
  p2           s16             ΓåÆ ref1           
  p2           s17             ΓåÆ ref2           
  p2           s18             ΓåÆ ref1           
  p2           s19             ΓåÆ ref1           
  p2           s20             ΓåÆ ref1           
  p20          s1              ΓåÆ ref1           
  p20          s2              ΓåÆ ref1           
  p20          s3              ΓåÆ ref1           
  p20          s4              ΓåÆ ref1           
  p20          s5              ΓåÆ ref1           
  p20          s6              ΓåÆ ref2           
  p20          s7              ΓåÆ ref2           
  p20          s8              ΓåÆ ref2           
  p20          s9              ΓåÆ ref2           
  p20          s10             ΓåÆ ref1           
  p20          s11             ΓåÆ ref1           
  p20          s12             ΓåÆ ref1           
  p20          s13             ΓåÆ ref1           
  p20          s14             ΓåÆ ref1           
  p20          s15             ΓåÆ ref1           
  p20          s16             ΓåÆ ref1           
  p20          s17             ΓåÆ ref1           
  p20          s18             ΓåÆ ref1           
  p20          s19             ΓåÆ ref1           
  p20          s20             ΓåÆ ref1           
  p3           s1              ΓåÆ ref1           
  p3           s2              ΓåÆ ref2           
  p3           s3              ΓåÆ ref1           
  p3           s4              ΓåÆ ref1           
  p3           s5              ΓåÆ ref2           
  p3           s6              ΓåÆ ref1           
  p3           s7              ΓåÆ ref1           
  p3           s8              ΓåÆ ref1           
  p3           s9              ΓåÆ ref2           
  p3           s10             ΓåÆ ref1           
  p3           s11             ΓåÆ ref1           
  p3           s12             ΓåÆ ref1           
  p3           s13             ΓåÆ ref1           
  p3           s14             ΓåÆ ref2           
  p3           s15             ΓåÆ ref1           
  p3           s16             ΓåÆ ref2           
  p3           s17             ΓåÆ ref1           
  p3           s18             ΓåÆ ref1           
  p3           s19             ΓåÆ ref2           
  p3           s20             ΓåÆ ref1           
  p4           s1              ΓåÆ ref1           
  p4           s2              ΓåÆ ref1           
  p4           s3              ΓåÆ ref2           
  p4           s4              ΓåÆ ref1           
  p4           s5              ΓåÆ ref2           
  p4           s6              ΓåÆ ref1           
  p4           s7              ΓåÆ ref1           
  p4           s8              ΓåÆ ref1           
  p4           s9              ΓåÆ ref1           
  p4           s10             ΓåÆ ref1           
  p4           s11             ΓåÆ ref1           
  p4           s12             ΓåÆ ref1           
  p4           s13             ΓåÆ ref2           
  p4           s14             ΓåÆ ref1           
  p4           s15             ΓåÆ ref2           
  p4           s16             ΓåÆ ref2           
  p4           s17             ΓåÆ ref1           
  p4           s18             ΓåÆ ref1           
  p4           s19             ΓåÆ ref2           
  p4           s20             ΓåÆ ref1           
  p5           s1              ΓåÆ ref1           
